
------ ******* ------ New Log ------ ******* ------
isTrain: True
net: MLP_CE
isCNN: False
isRandom: False
exp_name: Task1_MLP_CE
batch_size: 32
epoch: 250
milestones: [50, 100]
lr: 0.001
weight_decay: 0.0
reweight: 1.0
dir_root: ./data
task: Task_1
filename: data_1.mat
save_dir: ./experiments
MLP_CE(
  (mlp): Sequential(
    (0): Linear(in_features=779, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=32, bias=True)
    (3): ReLU()
    (4): Linear(in_features=32, out_features=32, bias=True)
    (5): ReLU()
    (6): Linear(in_features=32, out_features=2, bias=True)
  )
)
EPOCH = 047/250, [time] = 2.11s, [Acc 3840-tr]:0.950, [avrg loss] = 0.1175259. [Accu 961-Val]:0.958. Best @ 047, with accu 0.958.
EPOCH = 048/250, [time] = 2.25s, [Acc 3840-tr]:0.957, [avrg loss] = 0.1270173. [Accu 961-Val]:0.922. Best @ 047, with accu 0.958.
EPOCH = 049/250, [time] = 2.07s, [Acc 3840-tr]:0.954, [avrg loss] = 0.1202917. [Accu 961-Val]:0.954. Best @ 047, with accu 0.958.
EPOCH = 050/250, [time] = 2.29s, [Acc 3840-tr]:0.953, [avrg loss] = 0.0982776. [Accu 961-Val]:0.917. Best @ 047, with accu 0.958.
EPOCH = 051/250, [time] = 2.14s, [Acc 3840-tr]:0.968, [avrg loss] = 0.0905713. [Accu 961-Val]:0.958. Best @ 047, with accu 0.958.
EPOCH = 052/250, [time] = 2.15s, [Acc 3840-tr]:0.963, [avrg loss] = 0.0926446. [Accu 961-Val]:0.948. Best @ 047, with accu 0.958.
EPOCH = 053/250, [time] = 2.25s, [Acc 3840-tr]:0.966, [avrg loss] = 0.0918491. [Accu 961-Val]:0.947. Best @ 047, with accu 0.958.
EPOCH = 054/250, [time] = 2.20s, [Acc 3840-tr]:0.970, [avrg loss] = 0.0911288. [Accu 961-Val]:0.956. Best @ 047, with accu 0.958.
EPOCH = 055/250, [time] = 2.23s, [Acc 3840-tr]:0.961, [avrg loss] = 0.0920619. [Accu 961-Val]:0.944. Best @ 047, with accu 0.958.
EPOCH = 056/250, [time] = 2.29s, [Acc 3840-tr]:0.964, [avrg loss] = 0.0856774. [Accu 961-Val]:0.957. Best @ 047, with accu 0.958.
EPOCH = 057/250, [time] = 2.03s, [Acc 3840-tr]:0.966, [avrg loss] = 0.0864708. [Accu 961-Val]:0.956. Best @ 047, with accu 0.958.
EPOCH = 058/250, [time] = 2.16s, [Acc 3840-tr]:0.968, [avrg loss] = 0.0826223. [Accu 961-Val]:0.954. Best @ 047, with accu 0.958.
EPOCH = 059/250, [time] = 2.26s, [Acc 3840-tr]:0.966, [avrg loss] = 0.0864755. [Accu 961-Val]:0.956. Best @ 047, with accu 0.958.
EPOCH = 060/250, [time] = 2.04s, [Acc 3840-tr]:0.971, [avrg loss] = 0.0894121. [Accu 961-Val]:0.955. Best @ 047, with accu 0.958.
EPOCH = 061/250, [time] = 2.17s, [Acc 3840-tr]:0.969, [avrg loss] = 0.0829011. [Accu 961-Val]:0.958. Best @ 047, with accu 0.958.
EPOCH = 062/250, [time] = 1.91s, [Acc 3840-tr]:0.972, [avrg loss] = 0.0849373. [Accu 961-Val]:0.944. Best @ 047, with accu 0.958.
EPOCH = 063/250, [time] = 2.36s, [Acc 3840-tr]:0.972, [avrg loss] = 0.0832472. [Accu 961-Val]:0.956. Best @ 047, with accu 0.958.
EPOCH = 064/250, [time] = 2.05s, [Acc 3840-tr]:0.967, [avrg loss] = 0.0774622. [Accu 961-Val]:0.948. Best @ 047, with accu 0.958.
EPOCH = 065/250, [time] = 2.30s, [Acc 3840-tr]:0.971, [avrg loss] = 0.0778520. [Accu 961-Val]:0.953. Best @ 047, with accu 0.958.
EPOCH = 066/250, [time] = 2.19s, [Acc 3840-tr]:0.974, [avrg loss] = 0.0811462. [Accu 961-Val]:0.951. Best @ 047, with accu 0.958.
EPOCH = 067/250, [time] = 2.19s, [Acc 3840-tr]:0.975, [avrg loss] = 0.0791823. [Accu 961-Val]:0.956. Best @ 047, with accu 0.958.
EPOCH = 068/250, [time] = 2.21s, [Acc 3840-tr]:0.964, [avrg loss] = 0.0697516. [Accu 961-Val]:0.934. Best @ 047, with accu 0.958.
EPOCH = 069/250, [time] = 2.19s, [Acc 3840-tr]:0.970, [avrg loss] = 0.0792702. [Accu 961-Val]:0.955. Best @ 047, with accu 0.958.
EPOCH = 070/250, [time] = 2.17s, [Acc 3840-tr]:0.975, [avrg loss] = 0.0796442. [Accu 961-Val]:0.960. Best @ 070, with accu 0.960.
EPOCH = 071/250, [time] = 2.09s, [Acc 3840-tr]:0.969, [avrg loss] = 0.0770266. [Accu 961-Val]:0.939. Best @ 070, with accu 0.960.
EPOCH = 072/250, [time] = 2.22s, [Acc 3840-tr]:0.970, [avrg loss] = 0.0725118. [Accu 961-Val]:0.956. Best @ 070, with accu 0.960.
EPOCH = 073/250, [time] = 2.29s, [Acc 3840-tr]:0.974, [avrg loss] = 0.0737534. [Accu 961-Val]:0.949. Best @ 070, with accu 0.960.
EPOCH = 074/250, [time] = 2.33s, [Acc 3840-tr]:0.976, [avrg loss] = 0.0730455. [Accu 961-Val]:0.955. Best @ 070, with accu 0.960.
EPOCH = 075/250, [time] = 2.10s, [Acc 3840-tr]:0.975, [avrg loss] = 0.0679631. [Accu 961-Val]:0.945. Best @ 070, with accu 0.960.
EPOCH = 076/250, [time] = 2.21s, [Acc 3840-tr]:0.973, [avrg loss] = 0.0771085. [Accu 961-Val]:0.940. Best @ 070, with accu 0.960.
EPOCH = 077/250, [time] = 2.16s, [Acc 3840-tr]:0.971, [avrg loss] = 0.0760577. [Accu 961-Val]:0.947. Best @ 070, with accu 0.960.
EPOCH = 078/250, [time] = 2.23s, [Acc 3840-tr]:0.977, [avrg loss] = 0.0703863. [Accu 961-Val]:0.953. Best @ 070, with accu 0.960.
EPOCH = 079/250, [time] = 2.11s, [Acc 3840-tr]:0.973, [avrg loss] = 0.0692967. [Accu 961-Val]:0.949. Best @ 070, with accu 0.960.
EPOCH = 080/250, [time] = 2.15s, [Acc 3840-tr]:0.974, [avrg loss] = 0.0676462. [Accu 961-Val]:0.955. Best @ 070, with accu 0.960.
